country,region,city,latitude,longitude,annual_dni,annual_ghi,annual_tilt,collection_date
USA,Alabama,Birmingham,33.5186,-86.8104,"{'annual': 4.24, 'monthly': {'jan': 3.71, 'feb': 4.05, 'mar': 4.7, 'apr': 4.83, 'may': 4.71, 'jun': 4.57, 'jul': 4.31, 'aug': 4.51, 'sep': 3.96, 'oct': 4.11, 'nov': 3.99, 'dec': 3.39}}","{'annual': 4.45, 'monthly': {'jan': 2.54, 'feb': 3.27, 'mar': 4.49, 'apr': 5.42, 'may': 6.12, 'jun': 6.17, 'jul': 5.95, 'aug': 5.66, 'sep': 4.64, 'oct': 3.82, 'nov': 2.93, 'dec': 2.3}}","{'annual': 5.0, 'monthly': {'jan': 3.93, 'feb': 4.45, 'mar': 5.31, 'apr': 5.58, 'may': 5.76, 'jun': 5.58, 'jul': 5.52, 'aug': 5.66, 'sep': 5.2, 'oct': 4.94, 'nov': 4.39, 'dec': 3.67}}",2025-09-01T19:24:08.288
USA,Arizona,Phoenix,33.4484,-112.074,"{'annual': 7.35, 'monthly': {'jan': 6.24, 'feb': 6.46, 'mar': 7.21, 'apr': 8.23, 'may': 8.53, 'jun': 9.19, 'jul': 7.81, 'aug': 7.22, 'sep': 7.51, 'oct': 7.09, 'nov': 6.64, 'dec': 6.08}}","{'annual': 5.78, 'monthly': {'jan': 3.46, 'feb': 4.31, 'mar': 5.76, 'apr': 7.16, 'may': 7.96, 'jun': 8.31, 'jul': 7.49, 'aug': 6.81, 'sep': 6.12, 'oct': 4.94, 'nov': 3.8, 'dec': 3.18}}","{'annual': 6.68, 'monthly': {'jan': 5.73, 'feb': 6.17, 'mar': 6.99, 'apr': 7.47, 'may': 7.41, 'jun': 7.3, 'jul': 6.82, 'aug': 6.85, 'sep': 7.08, 'oct': 6.74, 'nov': 6.08, 'dec': 5.53}}",2025-09-01T19:24:18.603
USA,Arkansas,Little Rock,34.7465,-92.2896,"{'annual': 4.37, 'monthly': {'jan': 3.36, 'feb': 3.69, 'mar': 4.04, 'apr': 4.88, 'may': 4.55, 'jun': 5.09, 'jul': 5.34, 'aug': 5.45, 'sep': 4.77, 'oct': 4.2, 'nov': 3.62, 'dec': 3.38}}","{'annual': 4.41, 'monthly': {'jan': 2.37, 'feb': 3.12, 'mar': 4.1, 'apr': 5.38, 'may': 5.75, 'jun': 6.35, 'jul': 6.32, 'aug': 5.99, 'sep': 4.88, 'oct': 3.67, 'nov': 2.72, 'dec': 2.24}}","{'annual': 4.97, 'monthly': {'jan': 3.7, 'feb': 4.28, 'mar': 4.84, 'apr': 5.59, 'may': 5.4, 'jun': 5.71, 'jul': 5.83, 'aug': 6.04, 'sep': 5.6, 'oct': 4.85, 'nov': 4.12, 'dec': 3.69}}",2025-09-01T19:24:23.896
USA,California,Los Angeles,34.0522,-118.2437,"{'annual': 5.72, 'monthly': {'jan': 4.51, 'feb': 4.33, 'mar': 5.46, 'apr': 6.45, 'may': 6.05, 'jun': 6.51, 'jul': 7.39, 'aug': 7.04, 'sep': 6.23, 'oct': 5.23, 'nov': 5.01, 'dec': 4.39}}","{'annual': 5.3, 'monthly': {'jan': 3.06, 'feb': 3.65, 'mar': 5.15, 'apr': 6.35, 'may': 6.89, 'jun': 7.24, 'jul': 7.65, 'aug': 7.02, 'sep': 5.79, 'oct': 4.42, 'nov': 3.46, 'dec': 2.82}}","{'annual': 6.06, 'monthly': {'jan': 4.88, 'feb': 5.04, 'mar': 6.19, 'apr': 6.61, 'may': 6.51, 'jun': 6.51, 'jul': 7.06, 'aug': 7.12, 'sep': 6.68, 'oct': 5.9, 'nov': 5.39, 'dec': 4.72}}",2025-09-01T19:24:29.019
USA,Colorado,Denver,39.7392,-104.9903,"{'annual': 6.12, 'monthly': {'jan': 5.01, 'feb': 5.65, 'mar': 6.08, 'apr': 6.2, 'may': 6.37, 'jun': 7.38, 'jul': 7.41, 'aug': 6.61, 'sep': 6.81, 'oct': 5.86, 'nov': 5.17, 'dec': 4.94}}","{'annual': 4.83, 'monthly': {'jan': 2.51, 'feb': 3.52, 'mar': 4.74, 'apr': 5.72, 'may': 6.59, 'jun': 7.21, 'jul': 7.11, 'aug': 6.19, 'sep': 5.35, 'oct': 3.89, 'nov': 2.78, 'dec': 2.26}}","{'annual': 5.85, 'monthly': {'jan': 4.79, 'feb': 5.57, 'mar': 6.13, 'apr': 6.14, 'may': 6.24, 'jun': 6.43, 'jul': 6.56, 'aug': 6.38, 'sep': 6.52, 'oct': 5.76, 'nov': 5.03, 'dec': 4.64}}",2025-09-01T19:24:34.031
USA,Connecticut,Bridgeport,41.1792,-73.1894,"{'annual': 3.67, 'monthly': {'jan': 2.67, 'feb': 3.52, 'mar': 3.89, 'apr': 4.06, 'may': 4.17, 'jun': 4.27, 'jul': 4.53, 'aug': 4.37, 'sep': 4.04, 'oct': 3.24, 'nov': 2.63, 'dec': 2.67}}","{'annual': 3.89, 'monthly': {'jan': 1.83, 'feb': 2.76, 'mar': 3.81, 'apr': 4.75, 'may': 5.51, 'jun': 5.81, 'jul': 5.96, 'aug': 5.29, 'sep': 4.28, 'oct': 2.95, 'nov': 2.02, 'dec': 1.66}}","{'annual': 4.54, 'monthly': {'jan': 3.21, 'feb': 4.2, 'mar': 4.77, 'apr': 5.04, 'may': 5.24, 'jun': 5.28, 'jul': 5.58, 'aug': 5.44, 'sep': 5.08, 'oct': 4.13, 'nov': 3.33, 'dec': 3.12}}",2025-09-01T19:24:39.770
USA,Delaware,Wilmington,39.7391,-75.5398,"{'annual': 4.11, 'monthly': {'jan': 3.45, 'feb': 4.08, 'mar': 4.45, 'apr': 4.53, 'may': 4.55, 'jun': 4.53, 'jul': 4.75, 'aug': 4.41, 'sep': 4.19, 'oct': 3.9, 'nov': 3.21, 'dec': 3.32}}","{'annual': 4.09, 'monthly': {'jan': 2.08, 'feb': 2.97, 'mar': 4.03, 'apr': 4.97, 'may': 5.71, 'jun': 6.01, 'jul': 6.07, 'aug': 5.37, 'sep': 4.4, 'oct': 3.26, 'nov': 2.28, 'dec': 1.89}}","{'annual': 4.81, 'monthly': {'jan': 3.72, 'feb': 4.52, 'mar': 5.06, 'apr': 5.26, 'may': 5.43, 'jun': 5.45, 'jul': 5.65, 'aug': 5.47, 'sep': 5.18, 'oct': 4.59, 'nov': 3.77, 'dec': 3.58}}",2025-09-01T19:24:44.829
USA,Florida,Jacksonville,30.3322,-81.6557,"{'annual': 4.64, 'monthly': {'jan': 4.62, 'feb': 4.89, 'mar': 5.49, 'apr': 5.76, 'may': 5.61, 'jun': 4.48, 'jul': 4.46, 'aug': 4.22, 'sep': 3.7, 'oct': 4.11, 'nov': 4.37, 'dec': 4.03}}","{'annual': 4.77, 'monthly': {'jan': 3.2, 'feb': 3.94, 'mar': 5.08, 'apr': 6.14, 'may': 6.58, 'jun': 6.0, 'jul': 5.94, 'aug': 5.5, 'sep': 4.56, 'oct': 4.05, 'nov': 3.38, 'dec': 2.84}}","{'annual': 5.31, 'monthly': {'jan': 4.75, 'feb': 5.21, 'mar': 5.89, 'apr': 6.29, 'may': 6.17, 'jun': 5.41, 'jul': 5.47, 'aug': 5.45, 'sep': 4.96, 'oct': 5.03, 'nov': 4.8, 'dec': 4.3}}",2025-09-01T19:24:50.172
USA,Georgia,Atlanta,33.749,-84.388,"{'annual': 4.42, 'monthly': {'jan': 4.15, 'feb': 4.48, 'mar': 4.81, 'apr': 4.99, 'may': 4.97, 'jun': 4.85, 'jul': 4.48, 'aug': 4.31, 'sep': 4.08, 'oct': 4.27, 'nov': 4.14, 'dec': 3.56}}","{'annual': 4.5, 'monthly': {'jan': 2.71, 'feb': 3.41, 'mar': 4.49, 'apr': 5.48, 'may': 6.18, 'jun': 6.33, 'jul': 6.01, 'aug': 5.57, 'sep': 4.6, 'oct': 3.84, 'nov': 2.97, 'dec': 2.34}}","{'annual': 5.09, 'monthly': {'jan': 4.26, 'feb': 4.73, 'mar': 5.34, 'apr': 5.65, 'may': 5.8, 'jun': 5.71, 'jul': 5.56, 'aug': 5.57, 'sep': 5.16, 'oct': 5.01, 'nov': 4.49, 'dec': 3.79}}",2025-09-01T19:24:55.328
USA,Hawaii,Honolulu,21.3069,-157.8583,"{'annual': 5.68, 'monthly': {'jan': 4.92, 'feb': 5.05, 'mar': 5.24, 'apr': 5.54, 'may': 6.03, 'jun': 6.47, 'jul': 6.43, 'aug': 6.87, 'sep': 6.71, 'oct': 5.47, 'nov': 4.85, 'dec': 4.6}}","{'annual': 5.67, 'monthly': {'jan': 4.16, 'feb': 4.82, 'mar': 5.61, 'apr': 6.37, 'may': 6.78, 'jun': 7.1, 'jul': 6.95, 'aug': 6.84, 'sep': 6.25, 'oct': 5.14, 'nov': 4.22, 'dec': 3.82}}","{'annual': 5.97, 'monthly': {'jan': 5.25, 'feb': 5.67, 'mar': 6.06, 'apr': 6.33, 'may': 6.3, 'jun': 6.4, 'jul': 6.36, 'aug': 6.62, 'sep': 6.58, 'oct': 5.92, 'nov': 5.23, 'dec': 4.93}}",2025-09-01T19:25:00.321
