country,region,city,latitude,longitude,annual_dni,annual_ghi,annual_tilt,collection_date,annual_dhi,annual_ghi_calc,monthly_ghi_dict,monthly_ghi_vals,solar_power_generated,Unnamed: 0,state,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m,wind_speed_80m_est,power_80m_est,year,region_enc
USA,Idaho,Boise,43.615,-116.2023,6.0,"{'annual': 4.62, 'monthly': {'jan': 1.56, 'feb': 2.65, 'mar': 4.03, 'apr': 5.6, 'may': 6.86, 'jun': 7.67, 'jul': 7.85, 'aug': 6.88, 'sep': 5.4, 'oct': 3.56, 'nov': 1.88, 'dec': 1.36}}",5.48,2025-09-01T19:25:05.456,0.08,5.48,"{'jan': 1.56, 'feb': 2.65, 'mar': 4.03, 'apr': 5.6, 'may': 6.86, 'jun': 7.67, 'jul': 7.85, 'aug': 6.88, 'sep': 5.4, 'oct': 3.56, 'nov': 1.88, 'dec': 1.36}","[1.56, 2.65, 4.03, 5.6, 6.86, 7.67, 7.85, 6.88, 5.4, 3.56, 1.88, 1.36]",5.3704,11,Idaho,43.615,-116.2023,3.3708248,4.0730658,4.525595,3.912329638234874,29.709642845516036,2025,11
USA,Illinois,Chicago,41.8781,-87.6298,3.72,"{'annual': 3.89, 'monthly': {'jan': 1.78, 'feb': 2.56, 'mar': 3.63, 'apr': 4.79, 'may': 5.51, 'jun': 6.16, 'jul': 6.18, 'aug': 5.27, 'sep': 4.44, 'oct': 2.9, 'nov': 1.89, 'dec': 1.45}}",4.5,2025-09-01T19:25:10.934,1.1519999999999997,4.5,"{'jan': 1.78, 'feb': 2.56, 'mar': 3.63, 'apr': 4.79, 'may': 5.51, 'jun': 6.16, 'jul': 6.18, 'aug': 5.27, 'sep': 4.44, 'oct': 2.9, 'nov': 1.89, 'dec': 1.45}","[1.78, 2.56, 3.63, 4.79, 5.51, 6.16, 6.18, 5.27, 4.44, 2.9, 1.89, 1.45]",4.41,12,Illinois,41.8781,-87.6298,6.292622,7.3213973,8.05645,7.091043898461237,176.89747495648686,2025,12
USA,Indiana,Indianapolis,39.7684,-86.1581,3.88,"{'annual': 4.01, 'monthly': {'jan': 1.91, 'feb': 2.64, 'mar': 3.78, 'apr': 4.81, 'may': 5.64, 'jun': 6.19, 'jul': 6.07, 'aug': 5.46, 'sep': 4.62, 'oct': 3.16, 'nov': 2.08, 'dec': 1.62}}",4.6,2025-09-01T19:25:16.039,1.1079999999999997,4.6,"{'jan': 1.91, 'feb': 2.64, 'mar': 3.78, 'apr': 4.81, 'may': 5.64, 'jun': 6.19, 'jul': 6.07, 'aug': 5.46, 'sep': 4.62, 'oct': 3.16, 'nov': 2.08, 'dec': 1.62}","[1.91, 2.64, 3.78, 4.81, 5.64, 6.19, 6.07, 5.46, 4.62, 3.16, 2.08, 1.62]",4.508,13,Indiana,39.7684,-86.1581,5.000236,6.266613,7.1801386,6.020487553103095,108.26450647462778,2025,13
USA,Iowa,Des Moines,41.5868,-93.625,4.26,"{'annual': 4.02, 'monthly': {'jan': 1.77, 'feb': 2.63, 'mar': 3.72, 'apr': 4.94, 'may': 5.74, 'jun': 6.17, 'jul': 6.36, 'aug': 5.52, 'sep': 4.62, 'oct': 3.05, 'nov': 2.06, 'dec': 1.64}}",4.72,2025-09-01T19:25:21.048,0.8859999999999997,4.72,"{'jan': 1.77, 'feb': 2.63, 'mar': 3.72, 'apr': 4.94, 'may': 5.74, 'jun': 6.17, 'jul': 6.36, 'aug': 5.52, 'sep': 4.62, 'oct': 3.05, 'nov': 2.06, 'dec': 1.64}","[1.77, 2.63, 3.72, 4.94, 5.74, 6.17, 6.36, 5.52, 4.62, 3.05, 2.06, 1.64]",4.6256,14,Iowa,41.5868,-93.625,5.0926886,6.3645744,7.420443,6.159202667593427,115.92166118895864,2025,14
USA,Kansas,Wichita,37.6872,-97.3301,5.1,"{'annual': 4.57, 'monthly': {'jan': 2.48, 'feb': 3.33, 'mar': 4.22, 'apr': 5.43, 'may': 6.18, 'jun': 6.65, 'jul': 6.86, 'aug': 6.14, 'sep': 4.96, 'oct': 3.62, 'nov': 2.72, 'dec': 2.21}}",5.33,2025-09-01T19:25:26.118,0.7400000000000002,5.33,"{'jan': 2.48, 'feb': 3.33, 'mar': 4.22, 'apr': 5.43, 'may': 6.18, 'jun': 6.65, 'jul': 6.86, 'aug': 6.14, 'sep': 4.96, 'oct': 3.62, 'nov': 2.72, 'dec': 2.21}","[2.48, 3.33, 4.22, 5.43, 6.18, 6.65, 6.86, 6.14, 4.96, 3.62, 2.72, 2.21]",5.2234,15,Kansas,37.6872,-97.3301,5.722939,7.107574,8.197908,6.863477641275163,160.4071717918396,2025,15
USA,Kentucky,Louisville,38.2527,-85.7585,4.01,"{'annual': 4.12, 'monthly': {'jan': 1.96, 'feb': 2.88, 'mar': 3.84, 'apr': 4.92, 'may': 5.83, 'jun': 6.28, 'jul': 5.99, 'aug': 5.68, 'sep': 4.64, 'oct': 3.39, 'nov': 2.28, 'dec': 1.73}}",4.7,2025-09-01T19:25:31.327,1.0910000000000002,4.7,"{'jan': 1.96, 'feb': 2.88, 'mar': 3.84, 'apr': 4.92, 'may': 5.83, 'jun': 6.28, 'jul': 5.99, 'aug': 5.68, 'sep': 4.64, 'oct': 3.39, 'nov': 2.28, 'dec': 1.73}","[1.96, 2.88, 3.84, 4.92, 5.83, 6.28, 5.99, 5.68, 4.64, 3.39, 2.28, 1.73]",4.606,16,Kentucky,38.2527,-85.7585,4.6388736,5.660194,6.498373,5.485340297228814,81.88452571602768,2025,16
USA,Louisiana,New Orleans,29.9511,-90.0715,4.32,"{'annual': 4.64, 'monthly': {'jan': 2.93, 'feb': 3.7, 'mar': 4.79, 'apr': 5.88, 'may': 6.33, 'jun': 5.94, 'jul': 5.55, 'aug': 5.34, 'sep': 4.76, 'oct': 4.21, 'nov': 3.42, 'dec': 2.74}}",5.12,2025-09-01T19:25:36.540,1.2319999999999998,5.12,"{'jan': 2.93, 'feb': 3.7, 'mar': 4.79, 'apr': 5.88, 'may': 6.33, 'jun': 5.94, 'jul': 5.55, 'aug': 5.34, 'sep': 4.76, 'oct': 4.21, 'nov': 3.42, 'dec': 2.74}","[2.93, 3.7, 4.79, 5.88, 6.33, 5.94, 5.55, 5.34, 4.76, 4.21, 3.42, 2.74]",5.0176,17,Louisiana,29.9511,-90.0715,4.752861,5.87278,6.663433,5.645615259643155,89.27399026289991,2025,17
USA,Maine,Portland,43.6591,-70.2568,4.14,"{'annual': 3.83, 'monthly': {'jan': 1.82, 'feb': 2.65, 'mar': 3.7, 'apr': 4.85, 'may': 5.44, 'jun': 5.65, 'jul': 5.93, 'aug': 5.36, 'sep': 4.33, 'oct': 2.84, 'nov': 1.8, 'dec': 1.55}}",4.63,2025-09-01T19:25:41.986,0.904,4.63,"{'jan': 1.82, 'feb': 2.65, 'mar': 3.7, 'apr': 4.85, 'may': 5.44, 'jun': 5.65, 'jul': 5.93, 'aug': 5.36, 'sep': 4.33, 'oct': 2.84, 'nov': 1.8, 'dec': 1.55}","[1.82, 2.65, 3.7, 4.85, 5.44, 5.65, 5.93, 5.36, 4.33, 2.84, 1.8, 1.55]",4.5374,18,Maine,43.6591,-70.2568,5.515271,6.518045,7.3033934,6.322600366913654,125.3944481525236,2025,18
USA,Maine,Portland,43.6591,-70.2568,4.14,"{'annual': 3.83, 'monthly': {'jan': 1.82, 'feb': 2.65, 'mar': 3.7, 'apr': 4.85, 'may': 5.44, 'jun': 5.65, 'jul': 5.93, 'aug': 5.36, 'sep': 4.33, 'oct': 2.84, 'nov': 1.8, 'dec': 1.55}}",4.63,2025-09-01T19:25:41.986,0.904,4.63,"{'jan': 1.82, 'feb': 2.65, 'mar': 3.7, 'apr': 4.85, 'may': 5.44, 'jun': 5.65, 'jul': 5.93, 'aug': 5.36, 'sep': 4.33, 'oct': 2.84, 'nov': 1.8, 'dec': 1.55}","[1.82, 2.65, 3.7, 4.85, 5.44, 5.65, 5.93, 5.36, 4.33, 2.84, 1.8, 1.55]",4.5374,36,Oregon,45.5051,-122.675,3.7120638,4.931187,5.753706,4.690611035900386,51.20110984942779,2025,36
USA,Maryland,Baltimore,39.2904,-76.6122,4.13,"{'annual': 4.13, 'monthly': {'jan': 2.15, 'feb': 3.03, 'mar': 4.11, 'apr': 4.99, 'may': 5.69, 'jun': 6.13, 'jul': 6.04, 'aug': 5.37, 'sep': 4.34, 'oct': 3.32, 'nov': 2.38, 'dec': 1.97}}",4.85,2025-09-01T19:25:47.439,1.1329999999999996,4.85,"{'jan': 2.15, 'feb': 3.03, 'mar': 4.11, 'apr': 4.99, 'may': 5.69, 'jun': 6.13, 'jul': 6.04, 'aug': 5.37, 'sep': 4.34, 'oct': 3.32, 'nov': 2.38, 'dec': 1.97}","[2.15, 3.03, 4.11, 4.99, 5.69, 6.13, 6.04, 5.37, 4.34, 3.32, 2.38, 1.97]",4.752999999999999,19,Maryland,39.2904,-76.6122,4.6361594,5.7341805,6.463388,5.497561004546749,82.43303383352574,2025,19
